,symbol,close,tradingDate,symbol,open,tradingDate,Change,Type
0,PNJ,99.5,2021-10-08,PNJ,97.4,2021-10-08,2.0999999999999943,1.0
1,PNJ,97.0,2021-10-07,PNJ,98.1,2021-10-07,-1.0999999999999943,2.0
2,PNJ,98.1,2021-10-06,PNJ,97.0,2021-10-06,1.0999999999999943,1.0
3,PNJ,97.0,2021-10-05,PNJ,97.3,2021-10-05,-0.29999999999999716,2.0
4,PNJ,98.8,2021-10-04,PNJ,99.0,2021-10-04,-0.20000000000000284,2.0
5,PNJ,99.0,2021-10-01,PNJ,97.0,2021-10-01,2.0,1.0
6,PNJ,98.7,2021-09-30,PNJ,93.1,2021-09-30,5.6000000000000085,1.0
7,PNJ,93.3,2021-09-29,PNJ,92.2,2021-09-29,1.0999999999999943,1.0
8,PNJ,93.0,2021-09-28,PNJ,91.0,2021-09-28,2.0,1.0
9,PNJ,91.0,2021-09-27,PNJ,91.6,2021-09-27,-0.5999999999999943,2.0
10,PNJ,92.0,2021-09-24,PNJ,92.2,2021-09-24,-0.20000000000000284,2.0
11,PNJ,92.2,2021-09-23,PNJ,93.1,2021-09-23,-0.8999999999999915,2.0
12,PNJ,93.1,2021-09-22,PNJ,90.6,2021-09-22,2.5,1.0
13,PNJ,90.1,2021-09-21,PNJ,89.7,2021-09-21,0.3999999999999915,1.0
14,PNJ,91.0,2021-09-20,PNJ,92.0,2021-09-20,-1.0,2.0
15,PNJ,92.5,2021-09-17,PNJ,93.0,2021-09-17,-0.5,2.0
16,PNJ,93.0,2021-09-16,PNJ,91.4,2021-09-16,1.5999999999999943,1.0
17,PNJ,91.9,2021-09-15,PNJ,88.5,2021-09-15,3.4000000000000057,1.0
18,PNJ,89.0,2021-09-14,PNJ,91.9,2021-09-14,-2.9000000000000057,2.0
19,PNJ,92.0,2021-09-13,PNJ,93.0,2021-09-13,-1.0,2.0
20,PNJ,94.0,2021-09-10,PNJ,90.6,2021-09-10,3.4000000000000057,1.0
21,PNJ,90.5,2021-09-09,PNJ,85.5,2021-09-09,5.0,1.0
22,PNJ,86.2,2021-09-08,PNJ,86.2,2021-09-08,0.0,3.0
23,PNJ,86.2,2021-09-07,PNJ,87.1,2021-09-07,-0.8999999999999915,2.0
24,PNJ,86.5,2021-09-06,PNJ,86.3,2021-09-06,0.20000000000000284,1.0
25,PNJ,85.3,2021-09-01,PNJ,85.5,2021-09-01,-0.20000000000000284,2.0
26,PNJ,86.0,2021-08-31,PNJ,86.4,2021-08-31,-0.4000000000000057,2.0
27,PNJ,86.4,2021-08-30,PNJ,86.0,2021-08-30,0.4000000000000057,1.0
28,PNJ,85.8,2021-08-27,PNJ,86.3,2021-08-27,-0.5,2.0
29,PNJ,86.2,2021-08-26,PNJ,89.0,2021-08-26,-2.799999999999997,2.0
30,PNJ,89.0,2021-08-25,PNJ,88.5,2021-08-25,0.5,1.0
31,PNJ,88.3,2021-08-24,PNJ,88.8,2021-08-24,-0.5,2.0
32,PNJ,88.5,2021-08-23,PNJ,89.1,2021-08-23,-0.5999999999999943,2.0
33,PNJ,91.5,2021-08-20,PNJ,94.0,2021-08-20,-2.5,2.0
34,PNJ,94.0,2021-08-19,PNJ,95.0,2021-08-19,-1.0,2.0
35,PNJ,94.7,2021-08-18,PNJ,95.9,2021-08-18,-1.2000000000000028,2.0
36,PNJ,95.5,2021-08-17,PNJ,94.8,2021-08-17,0.7000000000000028,1.0
